abandon::This sentence uses the word 'abandon' in context.
abstract::This sentence uses the word 'abstract' in context.
acquire::This sentence uses the word 'acquire' in context.
adapt::This sentence uses the word 'adapt' in context.
adjust::This sentence uses the word 'adjust' in context.
advocate::This sentence uses the word 'advocate' in context.
aggressive::This sentence uses the word 'aggressive' in context.
allocate::This sentence uses the word 'allocate' in context.
alter::This sentence uses the word 'alter' in context.
ambiguous::This sentence uses the word 'ambiguous' in context.
analyse::This sentence uses the word 'analyse' in context.
